join,ons_item_name,level_3
310207,"Bitter, 4 cans, 3.4%-7.5% ABV",alcoholic_drinks 
310215,"Lager, 4 bottles, 4.3%-7.5% ABV",alcoholic_drinks 
310405,"Brandy, bottle",alcoholic_drinks 
310427,"RUM, WHITE, BOTTLE",alcoholic_drinks 
310403,"Vodka, bottle",alcoholic_drinks 
310401,"Whisky, bottle",alcoholic_drinks 
310218,"Apple Cider, bottle, 4.5%-5.5% ABV",alcoholic_drinks 
310421,"Red Wine, European, bottle",alcoholic_drinks 
310419,"White Wine, European, bottle",alcoholic_drinks 
210213,"Breakfast Cereal 1, sugar/chocolate coated",food_and_non_alcoholic_beverages
210214,"Breakfast Cereal 2, NOT sugar/chocolate coated",food_and_non_alcoholic_beverages
210204,"Dry Spaghetti or pasta, 500g",food_and_non_alcoholic_beverages
210302,Plain Biscuits (eg. Digestive),food_and_non_alcoholic_beverages
210111,"White Sliced Loaf, branded",food_and_non_alcoholic_beverages
210113,"Wholemeal Sliced Loaf, branded",food_and_non_alcoholic_beverages
211901,"Tea bags, per packet of 80, 250g",food_and_non_alcoholic_beverages
212717,"Apples, dessert, per kg",food_and_non_alcoholic_beverages
212719,"Bananas, per kg",food_and_non_alcoholic_beverages
212722,"Grapes, per kg",food_and_non_alcoholic_beverages
212720,"Strawberries, per kg or per punnet",food_and_non_alcoholic_beverages
211501,"Cheese Cheddar, home produced, per kg",food_and_non_alcoholic_beverages
211709,"Shop Milk, whole milk",food_and_non_alcoholic_beverages
211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",food_and_non_alcoholic_beverages
211814,"Yoghurt, small individual",food_and_non_alcoholic_beverages
211807,Yoghurt/Fromage Frais,food_and_non_alcoholic_beverages
212011,"Cola Flavoured Drink, bottle",food_and_non_alcoholic_beverages
212017,Fizzy bottled drink,food_and_non_alcoholic_beverages
212016,"Fresh/Chilled Orange Juice, eg. Tropicana",food_and_non_alcoholic_beverages
212006,"Fruit Juice, not orange, eg. apple",food_and_non_alcoholic_beverages
211305,"Spreadable butter, 500g, 40-70% butter content",food_and_non_alcoholic_beverages
212519,"Fresh Veg, Onions, per kg",food_and_non_alcoholic_beverages
212515,"Fresh Veg, Tomatoes, per kg",food_and_non_alcoholic_beverages
212361,"Potatoes, baking",food_and_non_alcoholic_beverages
212319,"Potatoes, new",food_and_non_alcoholic_beverages
212360,"Potatoes, old, white",food_and_non_alcoholic_beverages
